priority,pack_id,year,make,model,trim,powertrain,oem_family,schedule_kind,segment,tier,manual_share_policy,msrp_note,status,ymm
"15","bmw-3-series-2021-m340i","2021","BMW","3 Series","M340i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2021 BMW 3 Series"
"16","bmw-3-series-2020-330i","2020","BMW","3 Series","330i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2020 BMW 3 Series"
"17","bmw-3-series-2020-330e","2020","BMW","3 Series","330e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2020 BMW 3 Series"
"18","bmw-3-series-2020-m340i","2020","BMW","3 Series","M340i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2020 BMW 3 Series"
"19","bmw-3-series-2019-330i","2019","BMW","3 Series","330i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2019 BMW 3 Series"
"20","bmw-3-series-2019-330e","2019","BMW","3 Series","330e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2019 BMW 3 Series"
"21","bmw-3-series-2019-m340i","2019","BMW","3 Series","M340i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g20_generation","Under $80k — core 3er","target","2019 BMW 3 Series"
"22","bmw-5-series-2025-530i","2025","BMW","5 Series","530i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2025 BMW 5 Series"
"23","bmw-5-series-2025-530e","2025","BMW","5 Series","530e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2025 BMW 5 Series"
"24","bmw-5-series-2025-540i","2025","BMW","5 Series","540i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2025 BMW 5 Series"
"25","bmw-5-series-2024-530i","2024","BMW","5 Series","530i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2024 BMW 5 Series"
"26","bmw-5-series-2024-530e","2024","BMW","5 Series","530e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2024 BMW 5 Series"
"27","bmw-5-series-2024-540i","2024","BMW","5 Series","540i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2024 BMW 5 Series"
"28","bmw-5-series-2023-530i","2023","BMW","5 Series","530i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2023 BMW 5 Series"
"29","bmw-5-series-2023-530e","2023","BMW","5 Series","530e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2023 BMW 5 Series"
"30","bmw-5-series-2023-540i","2023","BMW","5 Series","540i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2023 BMW 5 Series"
"31","bmw-5-series-2022-530i","2022","BMW","5 Series","530i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2022 BMW 5 Series"
"32","bmw-5-series-2022-530e","2022","BMW","5 Series","530e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2022 BMW 5 Series"
"33","bmw-5-series-2022-540i","2022","BMW","5 Series","540i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2022 BMW 5 Series"
"34","bmw-5-series-2021-530i","2021","BMW","5 Series","530i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2021 BMW 5 Series"
"35","bmw-5-series-2021-530e","2021","BMW","5 Series","530e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2021 BMW 5 Series"
"36","bmw-5-series-2021-540i","2021","BMW","5 Series","540i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2021 BMW 5 Series"
"37","bmw-5-series-2020-530i","2020","BMW","5 Series","530i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2020 BMW 5 Series"
"38","bmw-5-series-2020-530e","2020","BMW","5 Series","530e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2020 BMW 5 Series"
"39","bmw-5-series-2020-540i","2020","BMW","5 Series","540i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2020 BMW 5 Series"
"40","bmw-5-series-2019-530i","2019","BMW","5 Series","530i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2019 BMW 5 Series"
"41","bmw-5-series-2019-530e","2019","BMW","5 Series","530e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2019 BMW 5 Series"
"42","bmw-5-series-2019-540i","2019","BMW","5 Series","540i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2019 BMW 5 Series"
"43","bmw-5-series-2018-530i","2018","BMW","5 Series","530i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2018 BMW 5 Series"
"44","bmw-5-series-2018-530e","2018","BMW","5 Series","530e","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2018 BMW 5 Series"
"45","bmw-5-series-2018-540i","2018","BMW","5 Series","540i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g30_g60_generation","Under $80k — exclude M5","target","2018 BMW 5 Series"
"46","bmw-2-series-2025-230i","2025","BMW","2 Series","230i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2025 BMW 2 Series"
"47","bmw-2-series-2025-m235i-xdrive","2025","BMW","2 Series","M235i xDrive","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2025 BMW 2 Series"
"48","bmw-2-series-2024-230i","2024","BMW","2 Series","230i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2024 BMW 2 Series"
"49","bmw-2-series-2024-m235i-xdrive","2024","BMW","2 Series","M235i xDrive","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2024 BMW 2 Series"
"50","bmw-2-series-2023-230i","2023","BMW","2 Series","230i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2023 BMW 2 Series"
"51","bmw-2-series-2023-m235i-xdrive","2023","BMW","2 Series","M235i xDrive","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2023 BMW 2 Series"
"52","bmw-2-series-2022-230i","2022","BMW","2 Series","230i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2022 BMW 2 Series"
"53","bmw-2-series-2022-m235i-xdrive","2022","BMW","2 Series","M235i xDrive","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2022 BMW 2 Series"
"54","bmw-2-series-2021-230i","2021","BMW","2 Series","230i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2021 BMW 2 Series"
"55","bmw-2-series-2021-m235i-xdrive","2021","BMW","2 Series","M235i xDrive","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2021 BMW 2 Series"
"56","bmw-2-series-2020-230i","2020","BMW","2 Series","230i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2020 BMW 2 Series"
"57","bmw-2-series-2020-m235i-xdrive","2020","BMW","2 Series","M235i xDrive","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_within_model_year","Gran Coupe / coupe under $80k","target","2020 BMW 2 Series"
"58","bmw-4-series-2025-430i","2025","BMW","4 Series","430i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g22_generation","Under $80k","target","2025 BMW 4 Series"
"59","bmw-4-series-2025-m440i","2025","BMW","4 Series","M440i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g22_generation","Under $80k","target","2025 BMW 4 Series"
"60","bmw-4-series-2024-430i","2024","BMW","4 Series","430i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g22_generation","Under $80k","target","2024 BMW 4 Series"
"61","bmw-4-series-2024-m440i","2024","BMW","4 Series","M440i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g22_generation","Under $80k","target","2024 BMW 4 Series"
"62","bmw-4-series-2023-430i","2023","BMW","4 Series","430i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g22_generation","Under $80k","target","2023 BMW 4 Series"
"63","bmw-4-series-2023-m440i","2023","BMW","4 Series","M440i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g22_generation","Under $80k","target","2023 BMW 4 Series"
"64","bmw-4-series-2022-430i","2022","BMW","4 Series","430i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g22_generation","Under $80k","target","2022 BMW 4 Series"
"65","bmw-4-series-2022-m440i","2022","BMW","4 Series","M440i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g22_generation","Under $80k","target","2022 BMW 4 Series"
"66","bmw-4-series-2021-430i","2021","BMW","4 Series","430i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g22_generation","Under $80k","target","2021 BMW 4 Series"
"67","bmw-4-series-2021-m440i","2021","BMW","4 Series","M440i","","bmw","cbs_condition_based","luxury_sedan","luxury","shared_g22_generation","Under $80k","target","2021 BMW 4 Series"
"68","bmw-x1-2025-sdrive28i","2025","BMW","X1","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2025 BMW X1"
"69","bmw-x1-2025-xdrive28i","2025","BMW","X1","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2025 BMW X1"
"70","bmw-x1-2024-sdrive28i","2024","BMW","X1","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2024 BMW X1"
"71","bmw-x1-2024-xdrive28i","2024","BMW","X1","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2024 BMW X1"
"72","bmw-x1-2023-sdrive28i","2023","BMW","X1","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2023 BMW X1"
"73","bmw-x1-2023-xdrive28i","2023","BMW","X1","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2023 BMW X1"
"74","bmw-x1-2022-sdrive28i","2022","BMW","X1","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2022 BMW X1"
"75","bmw-x1-2022-xdrive28i","2022","BMW","X1","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2022 BMW X1"
"76","bmw-x1-2021-sdrive28i","2021","BMW","X1","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2021 BMW X1"
"77","bmw-x1-2021-xdrive28i","2021","BMW","X1","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2021 BMW X1"
"78","bmw-x1-2020-sdrive28i","2020","BMW","X1","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2020 BMW X1"
"79","bmw-x1-2020-xdrive28i","2020","BMW","X1","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2020 BMW X1"
"80","bmw-x1-2019-sdrive28i","2019","BMW","X1","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2019 BMW X1"
"81","bmw-x1-2019-xdrive28i","2019","BMW","X1","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2019 BMW X1"
"82","bmw-x1-2018-sdrive28i","2018","BMW","X1","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2018 BMW X1"
"83","bmw-x1-2018-xdrive28i","2018","BMW","X1","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2018 BMW X1"
"84","bmw-x2-2023-sdrive28i","2023","BMW","X2","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2023 BMW X2"
"85","bmw-x2-2023-xdrive28i","2023","BMW","X2","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2023 BMW X2"
"86","bmw-x2-2023-m35i","2023","BMW","X2","M35i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2023 BMW X2"
"87","bmw-x2-2022-sdrive28i","2022","BMW","X2","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2022 BMW X2"
"88","bmw-x2-2022-xdrive28i","2022","BMW","X2","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2022 BMW X2"
"89","bmw-x2-2022-m35i","2022","BMW","X2","M35i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2022 BMW X2"
"90","bmw-x2-2021-sdrive28i","2021","BMW","X2","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2021 BMW X2"
"91","bmw-x2-2021-xdrive28i","2021","BMW","X2","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2021 BMW X2"
"92","bmw-x2-2021-m35i","2021","BMW","X2","M35i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2021 BMW X2"
"93","bmw-x2-2020-sdrive28i","2020","BMW","X2","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2020 BMW X2"
"94","bmw-x2-2020-xdrive28i","2020","BMW","X2","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2020 BMW X2"
"95","bmw-x2-2020-m35i","2020","BMW","X2","M35i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2020 BMW X2"
"96","bmw-x2-2019-sdrive28i","2019","BMW","X2","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2019 BMW X2"
"97","bmw-x2-2019-xdrive28i","2019","BMW","X2","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2019 BMW X2"
"98","bmw-x2-2019-m35i","2019","BMW","X2","M35i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2019 BMW X2"
"99","bmw-x2-2018-sdrive28i","2018","BMW","X2","sDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2018 BMW X2"
"100","bmw-x2-2018-xdrive28i","2018","BMW","X2","xDrive28i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2018 BMW X2"
"101","bmw-x2-2018-m35i","2018","BMW","X2","M35i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_within_generation","","target","2018 BMW X2"
"102","bmw-x3-2025-sdrive30i","2025","BMW","X3","sDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2025 BMW X3"
"103","bmw-x3-2025-xdrive30i","2025","BMW","X3","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2025 BMW X3"
"104","bmw-x3-2025-m40i","2025","BMW","X3","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2025 BMW X3"
"105","bmw-x3-2024-sdrive30i","2024","BMW","X3","sDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2024 BMW X3"
"106","bmw-x3-2024-xdrive30i","2024","BMW","X3","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2024 BMW X3"
"107","bmw-x3-2024-m40i","2024","BMW","X3","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2024 BMW X3"
"108","bmw-x3-2023-sdrive30i","2023","BMW","X3","sDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2023 BMW X3"
"109","bmw-x3-2023-xdrive30i","2023","BMW","X3","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2023 BMW X3"
"110","bmw-x3-2023-m40i","2023","BMW","X3","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2023 BMW X3"
"111","bmw-x3-2022-sdrive30i","2022","BMW","X3","sDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2022 BMW X3"
"112","bmw-x3-2022-xdrive30i","2022","BMW","X3","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2022 BMW X3"
"113","bmw-x3-2022-m40i","2022","BMW","X3","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2022 BMW X3"
"114","bmw-x3-2021-sdrive30i","2021","BMW","X3","sDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2021 BMW X3"
"115","bmw-x3-2021-xdrive30i","2021","BMW","X3","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2021 BMW X3"
"116","bmw-x3-2021-m40i","2021","BMW","X3","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2021 BMW X3"
"117","bmw-x3-2020-sdrive30i","2020","BMW","X3","sDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2020 BMW X3"
"118","bmw-x3-2020-xdrive30i","2020","BMW","X3","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2020 BMW X3"
"119","bmw-x3-2020-m40i","2020","BMW","X3","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2020 BMW X3"
"120","bmw-x3-2019-sdrive30i","2019","BMW","X3","sDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2019 BMW X3"
"121","bmw-x3-2019-xdrive30i","2019","BMW","X3","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2019 BMW X3"
"122","bmw-x3-2019-m40i","2019","BMW","X3","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2019 BMW X3"
"123","bmw-x3-2018-sdrive30i","2018","BMW","X3","sDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2018 BMW X3"
"124","bmw-x3-2018-xdrive30i","2018","BMW","X3","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2018 BMW X3"
"125","bmw-x3-2018-m40i","2018","BMW","X3","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g01_generation","Best-selling BMW SUV","target","2018 BMW X3"
"126","bmw-x4-2025-xdrive30i","2025","BMW","X4","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2025 BMW X4"
"127","bmw-x4-2025-m40i","2025","BMW","X4","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2025 BMW X4"
"128","bmw-x4-2024-xdrive30i","2024","BMW","X4","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2024 BMW X4"
"129","bmw-x4-2024-m40i","2024","BMW","X4","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2024 BMW X4"
"130","bmw-x4-2023-xdrive30i","2023","BMW","X4","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2023 BMW X4"
"131","bmw-x4-2023-m40i","2023","BMW","X4","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2023 BMW X4"
"132","bmw-x4-2022-xdrive30i","2022","BMW","X4","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2022 BMW X4"
"133","bmw-x4-2022-m40i","2022","BMW","X4","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2022 BMW X4"
"134","bmw-x4-2021-xdrive30i","2021","BMW","X4","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2021 BMW X4"
"135","bmw-x4-2021-m40i","2021","BMW","X4","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2021 BMW X4"
"136","bmw-x4-2020-xdrive30i","2020","BMW","X4","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2020 BMW X4"
"137","bmw-x4-2020-m40i","2020","BMW","X4","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2020 BMW X4"
"138","bmw-x4-2019-xdrive30i","2019","BMW","X4","xDrive30i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2019 BMW X4"
"139","bmw-x4-2019-m40i","2019","BMW","X4","M40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_with_x3_schedule","","target","2019 BMW X4"
"140","bmw-x5-2025-sdrive40i","2025","BMW","X5","sDrive40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2025 BMW X5"
"141","bmw-x5-2025-xdrive40i","2025","BMW","X5","xDrive40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2025 BMW X5"
"142","bmw-x5-2025-xdrive50e","2025","BMW","X5","xDrive50e","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2025 BMW X5"
"143","bmw-x5-2024-sdrive40i","2024","BMW","X5","sDrive40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2024 BMW X5"
"144","bmw-x5-2024-xdrive40i","2024","BMW","X5","xDrive40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2024 BMW X5"
"145","bmw-x5-2024-xdrive50e","2024","BMW","X5","xDrive50e","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2024 BMW X5"
"146","bmw-x5-2023-sdrive40i","2023","BMW","X5","sDrive40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2023 BMW X5"
"147","bmw-x5-2023-xdrive40i","2023","BMW","X5","xDrive40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2023 BMW X5"
"148","bmw-x5-2023-xdrive50e","2023","BMW","X5","xDrive50e","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2023 BMW X5"
"149","bmw-x5-2022-sdrive40i","2022","BMW","X5","sDrive40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2022 BMW X5"
"150","bmw-x5-2022-xdrive40i","2022","BMW","X5","xDrive40i","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2022 BMW X5"
"151","bmw-x5-2022-xdrive50e","2022","BMW","X5","xDrive50e","","bmw","cbs_condition_based","luxury_suv","luxury","shared_g05_generation","Base/xDrive40i under $80k; M60i excluded","target","2022 BMW X5"
