priority,pack_id,year,make,model,trim,powertrain,oem_family,schedule_kind,segment,manual_share_policy,retry_kind,v1_blocked_reason
"228","mercedes-benz-c-class-2021-c300","2021","Mercedes-Benz","C-Class","C300","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"229","mercedes-benz-c-class-2021-c300-4matic","2021","Mercedes-Benz","C-Class","C300 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"230","mercedes-benz-c-class-2021-c350e","2021","Mercedes-Benz","C-Class","C350e","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"231","mercedes-benz-c-class-2020-c300","2020","Mercedes-Benz","C-Class","C300","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"232","mercedes-benz-c-class-2020-c300-4matic","2020","Mercedes-Benz","C-Class","C300 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"233","mercedes-benz-c-class-2020-c350e","2020","Mercedes-Benz","C-Class","C350e","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"234","mercedes-benz-c-class-2019-c300","2019","Mercedes-Benz","C-Class","C300","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"235","mercedes-benz-c-class-2019-c300-4matic","2019","Mercedes-Benz","C-Class","C300 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"236","mercedes-benz-c-class-2019-c350e","2019","Mercedes-Benz","C-Class","C350e","","mercedes","assyst_plus","luxury_sedan","shared_w205_w206_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"237","mercedes-benz-e-class-2024-e350","2024","Mercedes-Benz","E-Class","E350","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"238","mercedes-benz-e-class-2024-e350-4matic","2024","Mercedes-Benz","E-Class","E350 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"239","mercedes-benz-e-class-2024-e450","2024","Mercedes-Benz","E-Class","E450","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"240","mercedes-benz-e-class-2023-e350","2023","Mercedes-Benz","E-Class","E350","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"241","mercedes-benz-e-class-2023-e350-4matic","2023","Mercedes-Benz","E-Class","E350 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"242","mercedes-benz-e-class-2023-e450","2023","Mercedes-Benz","E-Class","E450","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"243","mercedes-benz-e-class-2022-e350","2022","Mercedes-Benz","E-Class","E350","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"244","mercedes-benz-e-class-2022-e350-4matic","2022","Mercedes-Benz","E-Class","E350 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"245","mercedes-benz-e-class-2022-e450","2022","Mercedes-Benz","E-Class","E450","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"246","mercedes-benz-e-class-2021-e350","2021","Mercedes-Benz","E-Class","E350","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"247","mercedes-benz-e-class-2021-e350-4matic","2021","Mercedes-Benz","E-Class","E350 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"248","mercedes-benz-e-class-2021-e450","2021","Mercedes-Benz","E-Class","E450","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"249","mercedes-benz-e-class-2020-e350","2020","Mercedes-Benz","E-Class","E350","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"250","mercedes-benz-e-class-2020-e350-4matic","2020","Mercedes-Benz","E-Class","E350 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"251","mercedes-benz-e-class-2020-e450","2020","Mercedes-Benz","E-Class","E450","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"252","mercedes-benz-e-class-2019-e350","2019","Mercedes-Benz","E-Class","E350","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"253","mercedes-benz-e-class-2019-e350-4matic","2019","Mercedes-Benz","E-Class","E350 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"254","mercedes-benz-e-class-2019-e450","2019","Mercedes-Benz","E-Class","E450","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"255","mercedes-benz-e-class-2018-e350","2018","Mercedes-Benz","E-Class","E350","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"256","mercedes-benz-e-class-2018-e350-4matic","2018","Mercedes-Benz","E-Class","E350 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"257","mercedes-benz-e-class-2018-e450","2018","Mercedes-Benz","E-Class","E450","","mercedes","assyst_plus","luxury_sedan","shared_w213_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"258","mercedes-benz-a-class-2022-a220","2022","Mercedes-Benz","A-Class","A220","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"259","mercedes-benz-a-class-2022-a220-4matic","2022","Mercedes-Benz","A-Class","A220 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"260","mercedes-benz-a-class-2021-a220","2021","Mercedes-Benz","A-Class","A220","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"261","mercedes-benz-a-class-2021-a220-4matic","2021","Mercedes-Benz","A-Class","A220 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"262","mercedes-benz-a-class-2020-a220","2020","Mercedes-Benz","A-Class","A220","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"263","mercedes-benz-a-class-2020-a220-4matic","2020","Mercedes-Benz","A-Class","A220 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"264","mercedes-benz-a-class-2019-a220","2019","Mercedes-Benz","A-Class","A220","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"265","mercedes-benz-a-class-2019-a220-4matic","2019","Mercedes-Benz","A-Class","A220 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"266","mercedes-benz-cla-2025-cla250","2025","Mercedes-Benz","CLA","CLA250","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"267","mercedes-benz-cla-2025-cla250-4matic","2025","Mercedes-Benz","CLA","CLA250 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"268","mercedes-benz-cla-2025-cla35-amg","2025","Mercedes-Benz","CLA","CLA35 AMG","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"269","mercedes-benz-cla-2024-cla250","2024","Mercedes-Benz","CLA","CLA250","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"270","mercedes-benz-cla-2024-cla250-4matic","2024","Mercedes-Benz","CLA","CLA250 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"271","mercedes-benz-cla-2024-cla35-amg","2024","Mercedes-Benz","CLA","CLA35 AMG","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"272","mercedes-benz-cla-2023-cla250","2023","Mercedes-Benz","CLA","CLA250","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"273","mercedes-benz-cla-2023-cla250-4matic","2023","Mercedes-Benz","CLA","CLA250 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"274","mercedes-benz-cla-2023-cla35-amg","2023","Mercedes-Benz","CLA","CLA35 AMG","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"275","mercedes-benz-cla-2022-cla250","2022","Mercedes-Benz","CLA","CLA250","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"276","mercedes-benz-cla-2022-cla250-4matic","2022","Mercedes-Benz","CLA","CLA250 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"277","mercedes-benz-cla-2022-cla35-amg","2022","Mercedes-Benz","CLA","CLA35 AMG","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"278","mercedes-benz-cla-2021-cla250","2021","Mercedes-Benz","CLA","CLA250","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"279","mercedes-benz-cla-2021-cla250-4matic","2021","Mercedes-Benz","CLA","CLA250 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"280","mercedes-benz-cla-2021-cla35-amg","2021","Mercedes-Benz","CLA","CLA35 AMG","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"281","mercedes-benz-cla-2020-cla250","2020","Mercedes-Benz","CLA","CLA250","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"282","mercedes-benz-cla-2020-cla250-4matic","2020","Mercedes-Benz","CLA","CLA250 4MATIC","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"283","mercedes-benz-cla-2020-cla35-amg","2020","Mercedes-Benz","CLA","CLA35 AMG","","mercedes","assyst_plus","luxury_sedan","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"284","mercedes-benz-gla-2025-gla250","2025","Mercedes-Benz","GLA","GLA250","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"285","mercedes-benz-gla-2025-gla250-4matic","2025","Mercedes-Benz","GLA","GLA250 4MATIC","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"286","mercedes-benz-gla-2025-gla35-amg","2025","Mercedes-Benz","GLA","GLA35 AMG","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"287","mercedes-benz-gla-2024-gla250","2024","Mercedes-Benz","GLA","GLA250","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"288","mercedes-benz-gla-2024-gla250-4matic","2024","Mercedes-Benz","GLA","GLA250 4MATIC","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"289","mercedes-benz-gla-2024-gla35-amg","2024","Mercedes-Benz","GLA","GLA35 AMG","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"290","mercedes-benz-gla-2023-gla250","2023","Mercedes-Benz","GLA","GLA250","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"291","mercedes-benz-gla-2023-gla250-4matic","2023","Mercedes-Benz","GLA","GLA250 4MATIC","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"292","mercedes-benz-gla-2023-gla35-amg","2023","Mercedes-Benz","GLA","GLA35 AMG","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"293","mercedes-benz-gla-2022-gla250","2022","Mercedes-Benz","GLA","GLA250","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"294","mercedes-benz-gla-2022-gla250-4matic","2022","Mercedes-Benz","GLA","GLA250 4MATIC","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"295","mercedes-benz-gla-2022-gla35-amg","2022","Mercedes-Benz","GLA","GLA35 AMG","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"296","mercedes-benz-gla-2021-gla250","2021","Mercedes-Benz","GLA","GLA250","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"297","mercedes-benz-gla-2021-gla250-4matic","2021","Mercedes-Benz","GLA","GLA250 4MATIC","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"298","mercedes-benz-gla-2021-gla35-amg","2021","Mercedes-Benz","GLA","GLA35 AMG","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"299","mercedes-benz-glb-2025-glb250","2025","Mercedes-Benz","GLB","GLB250","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"300","mercedes-benz-glb-2025-glb250-4matic","2025","Mercedes-Benz","GLB","GLB250 4MATIC","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"301","mercedes-benz-glb-2024-glb250","2024","Mercedes-Benz","GLB","GLB250","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"302","mercedes-benz-glb-2024-glb250-4matic","2024","Mercedes-Benz","GLB","GLB250 4MATIC","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"303","mercedes-benz-glb-2023-glb250","2023","Mercedes-Benz","GLB","GLB250","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"304","mercedes-benz-glb-2023-glb250-4matic","2023","Mercedes-Benz","GLB","GLB250 4MATIC","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"305","mercedes-benz-glb-2022-glb250","2022","Mercedes-Benz","GLB","GLB250","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"306","mercedes-benz-glb-2022-glb250-4matic","2022","Mercedes-Benz","GLB","GLB250 4MATIC","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
"307","mercedes-benz-glb-2021-glb250","2021","Mercedes-Benz","GLB","GLB250","","mercedes","assyst_plus","luxury_suv","shared_within_generation","tier_d","No public US-market Mercedes-Benz Maintenance Booklet PDF with extractable ASSYST Plus intervals found; required schedule remains portal/printed-booklet only."
