priority,pack_id,year,make,model,trim,powertrain,segment,oem_family,schedule_kind,source_tier,primary_pdf_url,alternate_pdf_urls,manual_type,maintenance_section_title,manual_share_applied,shared_from_pack_id,estimated_pdf_pages,http_status,content_type,sha256_if_downloaded,confidence,notes,blocked_reason
"242","mercedes-benz-e-class-2023-e450","2023","Mercedes-Benz","E-Class","E450","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"243","mercedes-benz-e-class-2022-e350","2022","Mercedes-Benz","E-Class","E350","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"244","mercedes-benz-e-class-2022-e350-4matic","2022","Mercedes-Benz","E-Class","E350 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"245","mercedes-benz-e-class-2022-e450","2022","Mercedes-Benz","E-Class","E450","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"246","mercedes-benz-e-class-2021-e350","2021","Mercedes-Benz","E-Class","E350","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"247","mercedes-benz-e-class-2021-e350-4matic","2021","Mercedes-Benz","E-Class","E350 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"248","mercedes-benz-e-class-2021-e450","2021","Mercedes-Benz","E-Class","E450","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"249","mercedes-benz-e-class-2020-e350","2020","Mercedes-Benz","E-Class","E350","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"250","mercedes-benz-e-class-2020-e350-4matic","2020","Mercedes-Benz","E-Class","E350 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"251","mercedes-benz-e-class-2020-e450","2020","Mercedes-Benz","E-Class","E450","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"252","mercedes-benz-e-class-2019-e350","2019","Mercedes-Benz","E-Class","E350","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"253","mercedes-benz-e-class-2019-e350-4matic","2019","Mercedes-Benz","E-Class","E350 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"254","mercedes-benz-e-class-2019-e450","2019","Mercedes-Benz","E-Class","E450","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"255","mercedes-benz-e-class-2018-e350","2018","Mercedes-Benz","E-Class","E350","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"256","mercedes-benz-e-class-2018-e350-4matic","2018","Mercedes-Benz","E-Class","E350 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"257","mercedes-benz-e-class-2018-e450","2018","Mercedes-Benz","E-Class","E450","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"258","mercedes-benz-a-class-2022-a220","2022","Mercedes-Benz","A-Class","A220","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"259","mercedes-benz-a-class-2022-a220-4matic","2022","Mercedes-Benz","A-Class","A220 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"260","mercedes-benz-a-class-2021-a220","2021","Mercedes-Benz","A-Class","A220","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"261","mercedes-benz-a-class-2021-a220-4matic","2021","Mercedes-Benz","A-Class","A220 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"262","mercedes-benz-a-class-2020-a220","2020","Mercedes-Benz","A-Class","A220","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"263","mercedes-benz-a-class-2020-a220-4matic","2020","Mercedes-Benz","A-Class","A220 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"264","mercedes-benz-a-class-2019-a220","2019","Mercedes-Benz","A-Class","A220","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"265","mercedes-benz-a-class-2019-a220-4matic","2019","Mercedes-Benz","A-Class","A220 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"266","mercedes-benz-cla-2025-cla250","2025","Mercedes-Benz","CLA","CLA250","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"267","mercedes-benz-cla-2025-cla250-4matic","2025","Mercedes-Benz","CLA","CLA250 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"268","mercedes-benz-cla-2025-cla35-amg","2025","Mercedes-Benz","CLA","CLA35 AMG","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"269","mercedes-benz-cla-2024-cla250","2024","Mercedes-Benz","CLA","CLA250","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"270","mercedes-benz-cla-2024-cla250-4matic","2024","Mercedes-Benz","CLA","CLA250 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"271","mercedes-benz-cla-2024-cla35-amg","2024","Mercedes-Benz","CLA","CLA35 AMG","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"272","mercedes-benz-cla-2023-cla250","2023","Mercedes-Benz","CLA","CLA250","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"273","mercedes-benz-cla-2023-cla250-4matic","2023","Mercedes-Benz","CLA","CLA250 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"274","mercedes-benz-cla-2023-cla35-amg","2023","Mercedes-Benz","CLA","CLA35 AMG","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"275","mercedes-benz-cla-2022-cla250","2022","Mercedes-Benz","CLA","CLA250","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"276","mercedes-benz-cla-2022-cla250-4matic","2022","Mercedes-Benz","CLA","CLA250 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"277","mercedes-benz-cla-2022-cla35-amg","2022","Mercedes-Benz","CLA","CLA35 AMG","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"278","mercedes-benz-cla-2021-cla250","2021","Mercedes-Benz","CLA","CLA250","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"279","mercedes-benz-cla-2021-cla250-4matic","2021","Mercedes-Benz","CLA","CLA250 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"280","mercedes-benz-cla-2021-cla35-amg","2021","Mercedes-Benz","CLA","CLA35 AMG","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"281","mercedes-benz-cla-2020-cla250","2020","Mercedes-Benz","CLA","CLA250","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"282","mercedes-benz-cla-2020-cla250-4matic","2020","Mercedes-Benz","CLA","CLA250 4MATIC","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"283","mercedes-benz-cla-2020-cla35-amg","2020","Mercedes-Benz","CLA","CLA35 AMG","","luxury_sedan","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"284","mercedes-benz-gla-2025-gla250","2025","Mercedes-Benz","GLA","GLA250","","luxury_suv","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"285","mercedes-benz-gla-2025-gla250-4matic","2025","Mercedes-Benz","GLA","GLA250 4MATIC","","luxury_suv","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"286","mercedes-benz-gla-2025-gla35-amg","2025","Mercedes-Benz","GLA","GLA35 AMG","","luxury_suv","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"287","mercedes-benz-gla-2024-gla250","2024","Mercedes-Benz","GLA","GLA250","","luxury_suv","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"288","mercedes-benz-gla-2024-gla250-4matic","2024","Mercedes-Benz","GLA","GLA250 4MATIC","","luxury_suv","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"289","mercedes-benz-gla-2024-gla35-amg","2024","Mercedes-Benz","GLA","GLA35 AMG","","luxury_suv","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
"290","mercedes-benz-gla-2023-gla250","2023","Mercedes-Benz","GLA","GLA250","","luxury_suv","mercedes","assyst_plus","D","","","","","no","","","","","","0.00","v3 OEM-first retry completed 2026-07-26; no uninspected URL promoted.","No public direct US-market Mercedes-Benz maintenance PDF with extractable ASSYST PLUS intervals was verified; owner literature remains portal-based."
